trial_id,test_rmse,r2,timestamp,checkpoint_dir_name,done,training_iteration,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,experiment_tag,config/latent_dim,config/channels1,config/channels2,config/kernel_size,config/pool_kernel,config/ssl_lambda,config/ssl_weight,config/augment_const,config/recon_weight,config/epochs,config/lr,config/head_dims_list
91890c18,1.2014175653457642,-0.16430043371485326,1763604995,,True,1,2025-11-20_03-16-35,1.3032240867614746,1.3032240867614746,917373,dis-m17,145.94.32.28,1.3032240867614746,1,"19_augment_const=0.1000,channels1=8,channels2=16,epochs=100,head_dims_list=128_64,kernel_size=5,latent_dim=8,lr=0.0010,pool_kernel=4,recon_weight=1.0000,ssl_lambda=0.0100,ssl_weight=1.0000",8,8,16,5,4,0.01,1.0,0.1,1.0,100,0.001,"[128, 64]"
2677dda2,0.8694294095039368,0.028236238080692755,1763605000,,True,1,2025-11-20_03-16-40,1.3340914249420166,1.3340914249420166,917655,dis-m17,145.94.32.28,1.3340914249420166,1,"20_augment_const=0.0500,channels1=8,channels2=16,epochs=100,head_dims_list=128_64,kernel_size=9,latent_dim=8,lr=0.0010,pool_kernel=2,recon_weight=1.0000,ssl_lambda=0.5000,ssl_weight=1.0000",8,8,16,9,2,0.5,1.0,0.05,1.0,100,0.001,"[128, 64]"
1496aff6,0.8641378283500671,0.22801508692488115,1763605015,,True,1,2025-11-20_03-16-55,11.027925968170166,11.027925968170166,917941,dis-m17,145.94.32.28,11.027925968170166,1,"21_augment_const=0.2000,channels1=32,channels2=16,epochs=100,head_dims_list=128_64,kernel_size=9,latent_dim=12,lr=0.0050,pool_kernel=4,recon_weight=0.5000,ssl_lambda=0.1000,ssl_weight=0.5000",12,32,16,9,4,0.1,0.5,0.2,0.5,100,0.005,"[128, 64]"
bcaae52c,0.8957321047782898,0.04628047377526889,1763605021,,True,1,2025-11-20_03-17-01,1.7576992511749268,1.7576992511749268,918302,dis-m17,145.94.32.28,1.7576992511749268,1,"22_augment_const=0.0500,channels1=32,channels2=16,epochs=100,head_dims_list=128_64,kernel_size=7,latent_dim=12,lr=0.0100,pool_kernel=3,recon_weight=0.5000,ssl_lambda=0.1000,ssl_weight=0.5000",12,32,16,7,3,0.1,0.5,0.05,0.5,100,0.01,"[128, 64]"
657377b9,0.8436450958251953,0.050053884355461986,1763605026,,True,1,2025-11-20_03-17-06,1.3782732486724854,1.3782732486724854,918596,dis-m17,145.94.32.28,1.3782732486724854,1,"23_augment_const=0.0500,channels1=16,channels2=32,epochs=100,head_dims_list=64_32,kernel_size=3,latent_dim=8,lr=0.0010,pool_kernel=2,recon_weight=1.0000,ssl_lambda=0.5000,ssl_weight=0.1000",8,16,32,3,2,0.5,0.1,0.05,1.0,100,0.001,"[64, 32]"
7b28a5b7,0.9249280095100403,0.0829253755600079,1763605032,,True,1,2025-11-20_03-17-12,1.3474116325378418,1.3474116325378418,918879,dis-m17,145.94.32.28,1.3474116325378418,1,"24_augment_const=0.0500,channels1=12,channels2=32,epochs=100,head_dims_list=128_64,kernel_size=5,latent_dim=8,lr=0.0050,pool_kernel=4,recon_weight=0.1000,ssl_lambda=0.1000,ssl_weight=0.1000",8,12,32,5,4,0.1,0.1,0.05,0.1,100,0.005,"[128, 64]"
150879d5,0.9857474565505981,0.07819233432037553,1763605036,,True,1,2025-11-20_03-17-16,1.376396656036377,1.376396656036377,919160,dis-m17,145.94.32.28,1.376396656036377,1,"25_augment_const=0.0500,channels1=16,channels2=16,epochs=100,head_dims_list=64_32,kernel_size=9,latent_dim=16,lr=0.0050,pool_kernel=3,recon_weight=1.0000,ssl_lambda=1.0000,ssl_weight=0.1000",16,16,16,9,3,1.0,0.1,0.05,1.0,100,0.005,"[64, 32]"
c6aff01d,1.7126106023788452,-0.27372270874848104,1763604876,,False,1,2025-11-20_03-14-36,1.3709020614624023,1.3709020614624023,911354,dis-m17,145.94.32.28,1.3709020614624023,1,"26_augment_const=0.1000,channels1=16,channels2=32,epochs=100,head_dims_list=128_64,kernel_size=3,latent_dim=32,lr=0.0050,pool_kernel=4,recon_weight=0.1000,ssl_lambda=1.0000,ssl_weight=0.1000",32,16,32,3,4,1.0,0.1,0.1,0.1,100,0.005,"[128, 64]"
e218ba95,1.1354014873504639,0.09859385139487664,1763605042,,True,1,2025-11-20_03-17-22,1.7324354648590088,1.7324354648590088,919438,dis-m17,145.94.32.28,1.7324354648590088,1,"27_augment_const=0.1000,channels1=16,channels2=32,epochs=100,head_dims_list=128_64,kernel_size=9,latent_dim=8,lr=0.0010,pool_kernel=2,recon_weight=1.0000,ssl_lambda=0.0100,ssl_weight=0.5000",8,16,32,9,2,0.01,0.5,0.1,1.0,100,0.001,"[128, 64]"
99a3b2b4,1.1743252277374268,-0.06382118228142808,1763605048,,True,1,2025-11-20_03-17-28,1.6958014965057373,1.6958014965057373,919724,dis-m17,145.94.32.28,1.6958014965057373,1,"28_augment_const=0.1000,channels1=32,channels2=8,epochs=100,head_dims_list=128_64,kernel_size=3,latent_dim=32,lr=0.0100,pool_kernel=2,recon_weight=0.1000,ssl_lambda=1.0000,ssl_weight=0.5000",32,32,8,3,2,1.0,0.5,0.1,0.1,100,0.01,"[128, 64]"
1453b307,0.9618061184883118,0.1137450141338302,1763605052,,True,1,2025-11-20_03-17-32,1.3344051837921143,1.3344051837921143,920006,dis-m17,145.94.32.28,1.3344051837921143,1,"29_augment_const=0.2000,channels1=8,channels2=32,epochs=100,head_dims_list=128_64,kernel_size=3,latent_dim=12,lr=0.0010,pool_kernel=3,recon_weight=0.5000,ssl_lambda=0.5000,ssl_weight=1.0000",12,8,32,3,3,0.5,1.0,0.2,0.5,100,0.001,"[128, 64]"
680438f1,1.2770949602127075,-0.17054560058754542,1763605058,,True,1,2025-11-20_03-17-38,1.709076166152954,1.709076166152954,920285,dis-m17,145.94.32.28,1.709076166152954,1,"30_augment_const=0.2000,channels1=32,channels2=8,epochs=100,head_dims_list=128_64,kernel_size=7,latent_dim=32,lr=0.0050,pool_kernel=3,recon_weight=0.1000,ssl_lambda=1.0000,ssl_weight=0.5000",32,32,8,7,3,1.0,0.5,0.2,0.1,100,0.005,"[128, 64]"
