trial_id,test_rmse,r2,timestamp,checkpoint_dir_name,done,training_iteration,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,experiment_tag,config/latent_dims,config/hidden_dims,config/depth,config/batch_size,config/lr,config/epochs,config/window_size,config/z_pooling_method
2fe2e_00000,0.3877625633421003,0.7473237959629322,1763752017.0,,True,1.0,2025-11-21_20-06-57,10.973195791244507,10.973195791244507,2185867.0,dis-m17,145.94.32.28,10.973195791244507,1.0,"0_depth=3,hidden_dims=12,latent_dims=8,lr=0.0010,z_pooling_method=None",8.0,12.0,3.0,256.0,0.001,100.0,128.0,None
2fe2e_00001,0.3946764448201287,0.7359037812550975,1763752032.0,,True,1.0,2025-11-21_20-07-12,11.224743127822876,11.224743127822876,2186237.0,dis-m17,145.94.32.28,11.224743127822876,1.0,"1_depth=4,hidden_dims=12,latent_dims=8,lr=0.0010,z_pooling_method=None",8.0,12.0,4.0,256.0,0.001,100.0,128.0,None
2fe2e_00002,0.36895372835686,0.7491638532969681,1763752048.0,,True,1.0,2025-11-21_20-07-28,11.542397260665894,11.542397260665894,2186596.0,dis-m17,145.94.32.28,11.542397260665894,1.0,"2_depth=5,hidden_dims=12,latent_dims=8,lr=0.0010,z_pooling_method=None",8.0,12.0,5.0,256.0,0.001,100.0,128.0,None
2fe2e_00003,0.43627574535879093,0.6892591225920882,1763752062.0,,True,1.0,2025-11-21_20-07-42,11.065136909484863,11.065136909484863,2186954.0,dis-m17,145.94.32.28,11.065136909484863,1.0,"3_depth=3,hidden_dims=16,latent_dims=8,lr=0.0010,z_pooling_method=None",8.0,16.0,3.0,256.0,0.001,100.0,128.0,None
2fe2e_00004,0.38240658493323393,0.7421843739613159,1763752078.0,,True,1.0,2025-11-21_20-07-58,11.26059103012085,11.26059103012085,2187314.0,dis-m17,145.94.32.28,11.26059103012085,1.0,"4_depth=4,hidden_dims=16,latent_dims=8,lr=0.0010,z_pooling_method=None",8.0,16.0,4.0,256.0,0.001,100.0,128.0,None
2fe2e_00005,0.40678476025206806,0.7076289490570795,1763752093.0,,True,1.0,2025-11-21_20-08-13,11.503653526306152,11.503653526306152,2187678.0,dis-m17,145.94.32.28,11.503653526306152,1.0,"5_depth=5,hidden_dims=16,latent_dims=8,lr=0.0010,z_pooling_method=None",8.0,16.0,5.0,256.0,0.001,100.0,128.0,None
2fe2e_00006,0.42953680379334247,0.7338323322011195,1763752107.0,,True,1.0,2025-11-21_20-08-27,10.803781032562256,10.803781032562256,2188036.0,dis-m17,145.94.32.28,10.803781032562256,1.0,"6_depth=3,hidden_dims=20,latent_dims=8,lr=0.0010,z_pooling_method=None",8.0,20.0,3.0,256.0,0.001,100.0,128.0,None
2fe2e_00007,0.4027620065840695,0.7125602446678023,1763752123.0,,True,1.0,2025-11-21_20-08-43,11.407940864562988,11.407940864562988,2188402.0,dis-m17,145.94.32.28,11.407940864562988,1.0,"7_depth=4,hidden_dims=20,latent_dims=8,lr=0.0010,z_pooling_method=None",8.0,20.0,4.0,256.0,0.001,100.0,128.0,None
2fe2e_00008,0.4435691430486059,0.7200514565081575,1763752138.0,,True,1.0,2025-11-21_20-08-58,11.609769344329834,11.609769344329834,2188778.0,dis-m17,145.94.32.28,11.609769344329834,1.0,"8_depth=5,hidden_dims=20,latent_dims=8,lr=0.0010,z_pooling_method=None",8.0,20.0,5.0,256.0,0.001,100.0,128.0,None
2fe2e_00009,0.3888275766413945,0.7119291722366388,1763752152.0,,True,1.0,2025-11-21_20-09-12,11.059149980545044,11.059149980545044,2189146.0,dis-m17,145.94.32.28,11.059149980545044,1.0,"9_depth=3,hidden_dims=12,latent_dims=12,lr=0.0010,z_pooling_method=None",12.0,12.0,3.0,256.0,0.001,100.0,128.0,None
2fe2e_00010,0.37424426710109904,0.770505366639076,1763752168.0,,True,1.0,2025-11-21_20-09-28,11.457978010177612,11.457978010177612,2189505.0,dis-m17,145.94.32.28,11.457978010177612,1.0,"10_depth=4,hidden_dims=12,latent_dims=12,lr=0.0010,z_pooling_method=None",12.0,12.0,4.0,256.0,0.001,100.0,128.0,None
2fe2e_00011,0.4498621470014146,0.6799724015353399,1763752183.0,,True,1.0,2025-11-21_20-09-43,11.781091213226318,11.781091213226318,2189863.0,dis-m17,145.94.32.28,11.781091213226318,1.0,"11_depth=5,hidden_dims=12,latent_dims=12,lr=0.0010,z_pooling_method=None",12.0,12.0,5.0,256.0,0.001,100.0,128.0,None
2fe2e_00012,0.3695101533267509,0.7446689399148075,1763752199.0,,True,1.0,2025-11-21_20-09-59,11.274052143096924,11.274052143096924,2190229.0,dis-m17,145.94.32.28,11.274052143096924,1.0,"12_depth=3,hidden_dims=16,latent_dims=12,lr=0.0010,z_pooling_method=None",12.0,16.0,3.0,256.0,0.001,100.0,128.0,None
2fe2e_00013,0.3692491340334042,0.751365368401533,1763752214.0,,True,1.0,2025-11-21_20-10-14,11.55266547203064,11.55266547203064,2190593.0,dis-m17,145.94.32.28,11.55266547203064,1.0,"13_depth=4,hidden_dims=16,latent_dims=12,lr=0.0010,z_pooling_method=None",12.0,16.0,4.0,256.0,0.001,100.0,128.0,None
2fe2e_00014,0.378033750128001,0.7388636556941652,1763752230.0,,True,1.0,2025-11-21_20-10-30,12.221132755279541,12.221132755279541,2190958.0,dis-m17,145.94.32.28,12.221132755279541,1.0,"14_depth=5,hidden_dims=16,latent_dims=12,lr=0.0010,z_pooling_method=None",12.0,16.0,5.0,256.0,0.001,100.0,128.0,None
2fe2e_00015,0.4081493043890055,0.7157587261387199,1763752245.0,,True,1.0,2025-11-21_20-10-45,11.288950204849243,11.288950204849243,2191324.0,dis-m17,145.94.32.28,11.288950204849243,1.0,"15_depth=3,hidden_dims=20,latent_dims=12,lr=0.0010,z_pooling_method=None",12.0,20.0,3.0,256.0,0.001,100.0,128.0,None
2fe2e_00016,0.34671531611963274,0.7630992722353686,1763752260.0,,True,1.0,2025-11-21_20-11-00,11.668029069900513,11.668029069900513,2191683.0,dis-m17,145.94.32.28,11.668029069900513,1.0,"16_depth=4,hidden_dims=20,latent_dims=12,lr=0.0010,z_pooling_method=None",12.0,20.0,4.0,256.0,0.001,100.0,128.0,None
2fe2e_00017,0.4054942478922664,0.6899883970242663,1763752275.0,,True,1.0,2025-11-21_20-11-15,12.01610016822815,12.01610016822815,2192040.0,dis-m17,145.94.32.28,12.01610016822815,1.0,"17_depth=5,hidden_dims=20,latent_dims=12,lr=0.0010,z_pooling_method=None",12.0,20.0,5.0,256.0,0.001,100.0,128.0,None
2fe2e_00018,0.34183197958343253,0.714209733909916,1763752291.0,,True,1.0,2025-11-21_20-11-31,11.581444263458252,11.581444263458252,2192407.0,dis-m17,145.94.32.28,11.581444263458252,1.0,"18_depth=3,hidden_dims=12,latent_dims=16,lr=0.0010,z_pooling_method=None",16.0,12.0,3.0,256.0,0.001,100.0,128.0,None
2fe2e_00019,0.34187235483510797,0.7562528332070986,1763752306.0,,True,1.0,2025-11-21_20-11-46,11.989816188812256,11.989816188812256,2192765.0,dis-m17,145.94.32.28,11.989816188812256,1.0,"19_depth=4,hidden_dims=12,latent_dims=16,lr=0.0010,z_pooling_method=None",16.0,12.0,4.0,256.0,0.001,100.0,128.0,None
2fe2e_00020,0.34122525145950083,0.7800603004484807,1763752323.0,,True,1.0,2025-11-21_20-12-03,12.357619047164917,12.357619047164917,2193131.0,dis-m17,145.94.32.28,12.357619047164917,1.0,"20_depth=5,hidden_dims=12,latent_dims=16,lr=0.0010,z_pooling_method=None",16.0,12.0,5.0,256.0,0.001,100.0,128.0,None
2fe2e_00021,0.3869940836106537,0.7568947031710854,1763752338.0,,True,1.0,2025-11-21_20-12-18,11.430334091186523,11.430334091186523,2193504.0,dis-m17,145.94.32.28,11.430334091186523,1.0,"21_depth=3,hidden_dims=16,latent_dims=16,lr=0.0010,z_pooling_method=None",16.0,16.0,3.0,256.0,0.001,100.0,128.0,None
2fe2e_00022,0.3531601899642995,0.7263294934593765,1763752353.0,,True,1.0,2025-11-21_20-12-33,11.910093069076538,11.910093069076538,2193862.0,dis-m17,145.94.32.28,11.910093069076538,1.0,"22_depth=4,hidden_dims=16,latent_dims=16,lr=0.0010,z_pooling_method=None",16.0,16.0,4.0,256.0,0.001,100.0,128.0,None
2fe2e_00023,0.3677500845387045,0.7514423887049622,1763752370.0,,True,1.0,2025-11-21_20-12-50,12.104251861572266,12.104251861572266,2194229.0,dis-m17,145.94.32.28,12.104251861572266,1.0,"23_depth=5,hidden_dims=16,latent_dims=16,lr=0.0010,z_pooling_method=None",16.0,16.0,5.0,256.0,0.001,100.0,128.0,None
2fe2e_00024,0.3396957974126838,0.7548684345370188,1763752385.0,,True,1.0,2025-11-21_20-13-05,11.538177013397217,11.538177013397217,2194595.0,dis-m17,145.94.32.28,11.538177013397217,1.0,"24_depth=3,hidden_dims=20,latent_dims=16,lr=0.0010,z_pooling_method=None",16.0,20.0,3.0,256.0,0.001,100.0,128.0,None
2fe2e_00025,0.3727479086344975,0.7381989240302071,1763752400.0,,True,1.0,2025-11-21_20-13-20,11.904520988464355,11.904520988464355,2194956.0,dis-m17,145.94.32.28,11.904520988464355,1.0,"25_depth=4,hidden_dims=20,latent_dims=16,lr=0.0010,z_pooling_method=None",16.0,20.0,4.0,256.0,0.001,100.0,128.0,None
